,Volume
08:30:00,653.0
08:45:00,613.0
09:00:00,615.0
09:15:00,643.0
09:30:00,652.0
09:45:00,634.0
10:00:00,611.0
10:15:00,627.0
10:30:00,614.0
10:45:00,578.0
11:00:00,571.0
11:15:00,604.0
11:30:00,591.0
11:45:00,541.0
12:00:00,526.0
12:15:00,559.0
12:30:00,563.0
12:45:00,554.0
13:00:00,519.0
13:15:00,556.0
13:30:00,561.0
