,Volume
08:30:00,577.0
08:45:00,588.0
09:00:00,585.0
09:15:00,598.0
09:30:00,600.0
09:45:00,601.0
10:00:00,592.0
10:15:00,602.0
10:30:00,583.0
10:45:00,613.0
11:00:00,539.0
11:15:00,577.0
11:30:00,535.0
11:45:00,598.0
12:00:00,587.0
12:15:00,593.0
12:30:00,577.0
12:45:00,588.0
13:00:00,558.0
13:15:00,594.0
13:30:00,562.0
